ffmpeg version 6.1.1-3ubuntu5 Copyright (c) 2000-2023 the FFmpeg developers
  built with gcc 13 (Ubuntu 13.2.0-23ubuntu3)
  configuration: --prefix=/usr --extra-version=3ubuntu5 --toolchain=hardened --libdir=/usr/lib/x86_64-linux-gnu --incdir=/usr/include/x86_64-linux-gnu --arch=amd64 --enable-gpl --disable-stripping --disable-omx --enable-gnutls --enable-libaom --enable-libass --enable-libbs2b --enable-libcaca --enable-libcdio --enable-libcodec2 --enable-libdav1d --enable-libflite --enable-libfontconfig --enable-libfreetype --enable-libfribidi --enable-libglslang --enable-libgme --enable-libgsm --enable-libharfbuzz --enable-libmp3lame --enable-libmysofa --enable-libopenjpeg --enable-libopenmpt --enable-libopus --enable-librubberband --enable-libshine --enable-libsnappy --enable-libsoxr --enable-libspeex --enable-libtheora --enable-libtwolame --enable-libvidstab --enable-libvorbis --enable-libvpx --enable-libwebp --enable-libx265 --enable-libxml2 --enable-libxvid --enable-libzimg --enable-openal --enable-opencl --enable-opengl --disable-sndio --enable-libvpl --disable-libmfx --enable-libdc1394 --enable-libdrm --enable-libiec61883 --enable-chromaprint --enable-frei0r --enable-ladspa --enable-libbluray --enable-libjack --enable-libpulse --enable-librabbitmq --enable-librist --enable-libsrt --enable-libssh --enable-libsvtav1 --enable-libx264 --enable-libzmq --enable-libzvbi --enable-lv2 --enable-sdl2 --enable-libplacebo --enable-librav1e --enable-pocketsphinx --enable-librsvg --enable-libjxl --enable-shared
  libavutil      58. 29.100 / 58. 29.100
  libavcodec     60. 31.102 / 60. 31.102
  libavformat    60. 16.100 / 60. 16.100
  libavdevice    60.  3.100 / 60.  3.100
  libavfilter     9. 12.100 /  9. 12.100
  libswscale      7.  5.100 /  7.  5.100
  libswresample   4. 12.100 /  4. 12.100
  libpostproc    57.  3.100 / 57.  3.100
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from 'downloads/Infinite pencil loop #pencil #macro #closeup #microscope #zoom #shorts #viral.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf60.16.100
  Duration: 00:00:11.75, start: 0.000000, bitrate: 4765 kb/s
  Stream #0:0[0x1](und): Audio: aac (LC) (mp4a / 0x6134706D), 44100 Hz, stereo, fltp, 128 kb/s (default)
    Metadata:
      handler_name    : SoundHandler
      vendor_id       : [0][0][0][0]
  Stream #0:1[0x2](und): Video: h264 (High) (avc1 / 0x31637661), yuv420p(tv, bt709, progressive), 1080x1920 [SAR 1:1 DAR 9:16], 4654 kb/s, 50 fps, 50 tbr, 90k tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
Stream mapping:
  Stream #0:1 -> #0:0 (h264 (native) -> h264 (libx264))
  Stream #0:0 -> #0:1 (aac (native) -> aac (native))
Press [q] to stop, [?] for help
[libx264 @ 0x64d33164dbc0] using SAR=1/1
[libx264 @ 0x64d33164dbc0] using cpu capabilities: MMX2 SSE2Fast SSSE3 SSE4.2 AVX FMA3 BMI2 AVX2 AVX512
[libx264 @ 0x64d33164dbc0] profile High, level 4.2, 4:2:0, 8-bit
[libx264 @ 0x64d33164dbc0] 264 - core 164 r3108 31e19f9 - H.264/MPEG-4 AVC codec - Copyleft 2003-2023 - http://www.videolan.org/x264.html - options: cabac=1 ref=1 deblock=1:0:0 analyse=0x3:0x3 me=dia subme=1 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=1 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=60 keyint_min=6 scenecut=40 intra_refresh=0 rc_lookahead=0 rc=cbr mbtree=0 bitrate=2000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=2000 vbv_bufsize=4000 nal_hrd=none filler=0 ip_ratio=1.40 pb_ratio=1.30 aq=1:1.00
Output #0, flv, to 'rtmps://edgetee-upload-del2-1.xx.fbcdn.net:443/rtmp/18130505548495934?s_bl=1&s_fbp=bom2-2&s_ow=10&s_prp=del2-1&s_sw=0&s_tids=1&s_vt=ig&a=Ab2FTtwgCRNEMWwpQ-LwRMHC':
  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf60.16.100
  Stream #0:0(und): Video: h264 ([7][0][0][0] / 0x0007), yuv420p(tv, bt709, progressive), 1080x1920 [SAR 1:1 DAR 9:16], q=2-31, 2000 kb/s, 50 fps, 1k tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
      encoder         : Lavc60.31.102 libx264
    Side data:
      cpb: bitrate max/min/avg: 2000000/0/2000000 buffer size: 4000000 vbv_delay: N/A
  Stream #0:1(und): Audio: aac (LC) ([10][0][0][0] / 0x000A), 44100 Hz, stereo, fltp, 128 kb/s (default)
    Metadata:
      handler_name    : SoundHandler
      vendor_id       : [0][0][0][0]
      encoder         : Lavc60.31.102 aac
frame=    0 fps=0.0 q=0.0 size=       0kB time=00:00:00.16 bitrate=  24.2kbits/s speed=1.71x    
frame=   23 fps=0.0 q=38.0 size=      86kB time=00:00:01.06 bitrate= 661.1kbits/s speed=1.77x    
frame=   48 fps= 43 q=35.0 size=     193kB time=00:00:01.55 bitrate=1015.6kbits/s speed=1.41x    
frame=   73 fps= 45 q=33.0 size=     286kB time=00:00:02.06 bitrate=1133.5kbits/s speed=1.28x    
frame=   99 fps= 47 q=36.0 size=     410kB time=00:00:02.57 bitrate=1301.6kbits/s speed=1.21x    
frame=  124 fps= 47 q=33.0 size=     563kB time=00:00:03.08 bitrate=1493.6kbits/s speed=1.17x    
frame=  150 fps= 48 q=33.0 size=     691kB time=00:00:03.59 bitrate=1573.1kbits/s speed=1.15x    
frame=  175 fps= 48 q=34.0 size=     821kB time=00:00:04.10 bitrate=1636.9kbits/s speed=1.12x    
frame=  201 fps= 48 q=33.0 size=     970kB time=00:00:04.62 bitrate=1720.4kbits/s speed=1.11x    
frame=  226 fps= 48 q=31.0 size=    1124kB time=00:00:05.13 bitrate=1794.1kbits/s speed= 1.1x    
frame=  252 fps= 49 q=34.0 size=    1288kB time=00:00:05.64 bitrate=1869.9kbits/s speed=1.09x    
frame=  277 fps= 49 q=34.0 size=    1433kB time=00:00:06.15 bitrate=1907.8kbits/s speed=1.08x    
frame=  302 fps= 49 q=34.0 size=    1604kB time=00:00:06.64 bitrate=1978.4kbits/s speed=1.07x    
frame=  327 fps= 49 q=33.0 size=    1737kB time=00:00:07.15 bitrate=1989.5kbits/s speed=1.07x    
frame=  353 fps= 49 q=36.0 size=    1881kB time=00:00:07.66 bitrate=2011.1kbits/s speed=1.06x    
frame=  378 fps= 49 q=38.0 size=    2036kB time=00:00:08.17 bitrate=2040.5kbits/s speed=1.06x    
frame=  404 fps= 49 q=36.0 size=    2181kB time=00:00:08.68 bitrate=2057.4kbits/s speed=1.06x    
frame=  429 fps= 49 q=36.0 size=    2371kB time=00:00:09.17 bitrate=2117.7kbits/s speed=1.05x    
frame=  454 fps= 49 q=41.0 size=    2518kB time=00:00:09.68 bitrate=2130.3kbits/s speed=1.05x    
frame=  479 fps= 49 q=39.0 size=    2659kB time=00:00:10.19 bitrate=2136.6kbits/s speed=1.05x    
frame=  505 fps= 49 q=37.0 size=    2814kB time=00:00:10.70 bitrate=2153.9kbits/s speed=1.05x    
frame=  530 fps= 49 q=40.0 size=    2922kB time=00:00:11.19 bitrate=2138.8kbits/s speed=1.04x    
frame=  562 fps= 50 q=39.0 size=    3069kB time=00:00:11.70 bitrate=2148.2kbits/s speed=1.03x    
frame=  581 fps= 49 q=36.0 size=    3148kB time=00:00:12.28 bitrate=2099.8kbits/s speed=1.04x    
frame=  606 fps= 49 q=36.0 size=    3272kB time=00:00:12.79 bitrate=2095.0kbits/s speed=1.04x    
frame=  632 fps= 49 q=36.0 size=    3386kB time=00:00:13.30 bitrate=2084.8kbits/s speed=1.04x    
frame=  657 fps= 49 q=35.0 size=    3465kB time=00:00:13.81 bitrate=2054.6kbits/s speed=1.03x    
frame=  683 fps= 49 q=38.0 size=    3573kB time=00:00:14.32 bitrate=2043.2kbits/s speed=1.03x    
frame=  708 fps= 49 q=34.0 size=    3692kB time=00:00:14.83 bitrate=2038.4kbits/s speed=1.03x    
frame=  734 fps= 49 q=35.0 size=    3816kB time=00:00:15.34 bitrate=2036.9kbits/s speed=1.03x    
frame=  759 fps= 49 q=35.0 size=    3935kB time=00:00:15.85 bitrate=2032.6kbits/s speed=1.03x    
frame=  785 fps= 49 q=34.0 size=    4071kB time=00:00:16.37 bitrate=2037.1kbits/s speed=1.03x    
frame=  810 fps= 49 q=34.0 size=    4204kB time=00:00:16.88 bitrate=2040.1kbits/s speed=1.03x    
frame=  835 fps= 49 q=35.0 size=    4373kB time=00:00:17.36 bitrate=2062.5kbits/s speed=1.03x    
frame=  860 fps= 49 q=35.0 size=    4495kB time=00:00:17.87 bitrate=2059.5kbits/s speed=1.03x    
frame=  886 fps= 49 q=35.0 size=    4632kB time=00:00:18.39 bitrate=2063.5kbits/s speed=1.03x    
frame=  911 fps= 49 q=34.0 size=    4780kB time=00:00:18.90 bitrate=2071.6kbits/s speed=1.02x    
frame=  937 fps= 49 q=37.0 size=    4916kB time=00:00:19.41 bitrate=2074.8kbits/s speed=1.02x    
frame=  962 fps= 49 q=39.0 size=    5068kB time=00:00:19.92 bitrate=2083.7kbits/s speed=1.02x    
frame=  988 fps= 49 q=37.0 size=    5210kB time=00:00:20.43 bitrate=2088.6kbits/s speed=1.02x    
frame= 1014 fps= 49 q=36.0 size=    5376kB time=00:00:20.94 bitrate=2102.9kbits/s speed=1.02x    
frame= 1039 fps= 49 q=38.0 size=    5568kB time=00:00:21.45 bitrate=2125.9kbits/s speed=1.02x    
frame= 1065 fps= 50 q=39.0 size=    5718kB time=00:00:21.96 bitrate=2132.3kbits/s speed=1.02x    
frame= 1090 fps= 50 q=37.0 size=    5881kB time=00:00:22.47 bitrate=2143.5kbits/s speed=1.02x    
frame= 1115 fps= 50 q=36.0 size=    5991kB time=00:00:22.96 bitrate=2137.3kbits/s speed=1.02x    
frame= 1146 fps= 50 q=39.0 size=    6136kB time=00:00:23.45 bitrate=2143.2kbits/s speed=1.02x    
frame= 1164 fps= 49 q=36.0 size=    6208kB time=00:00:24.00 bitrate=2118.3kbits/s speed=1.02x    
frame= 1189 fps= 49 q=36.0 size=    6328kB time=00:00:24.52 bitrate=2114.1kbits/s speed=1.02x    
frame= 1214 fps= 49 q=35.0 size=    6450kB time=00:00:25.03 bitrate=2110.9kbits/s speed=1.02x    
frame= 1239 fps= 49 q=35.0 size=    6526kB time=00:00:25.51 bitrate=2095.0kbits/s speed=1.02x    
frame= 1264 fps= 49 q=36.0 size=    6634kB time=00:00:26.02 bitrate=2087.8kbits/s speed=1.02x    
frame= 1290 fps= 49 q=37.0 size=    6748kB time=00:00:26.54 bitrate=2082.7kbits/s speed=1.02x    
frame= 1315 fps= 49 q=36.0 size=    6872kB time=00:00:27.05 bitrate=2081.0kbits/s speed=1.02x    
frame= 1340 fps= 49 q=36.0 size=    6986kB time=00:00:27.53 bitrate=2078.1kbits/s speed=1.02x    
frame= 1365 fps= 49 q=35.0 size=    7113kB time=00:00:28.04 bitrate=2077.2kbits/s speed=1.02x    
frame= 1391 fps= 49 q=35.0 size=    7253kB time=00:00:28.56 bitrate=2080.5kbits/s speed=1.02x    
frame= 1416 fps= 50 q=37.0 size=    7393kB time=00:00:29.07 bitrate=2083.1kbits/s speed=1.02x    
frame= 1441 fps= 50 q=36.0 size=    7544kB time=00:00:29.55 bitrate=2090.8kbits/s speed=1.02x    
frame= 1466 fps= 49 q=34.0 size=    7683kB time=00:00:30.06 bitrate=2093.0kbits/s speed=1.02x    
frame= 1492 fps= 50 q=37.0 size=    7829kB time=00:00:30.58 bitrate=2097.3kbits/s speed=1.02x    
frame= 1517 fps= 50 q=35.0 size=    7959kB time=00:00:31.09 bitrate=2097.1kbits/s speed=1.01x    
frame= 1543 fps= 50 q=38.0 size=    8098kB time=00:00:31.60 bitrate=2099.1kbits/s speed=1.01x    
frame= 1569 fps= 50 q=39.0 size=    8263kB time=00:00:32.11 bitrate=2107.8kbits/s speed=1.01x    
frame= 1594 fps= 50 q=36.0 size=    8414kB time=00:00:32.62 bitrate=2112.7kbits/s speed=1.01x    
frame= 1619 fps= 50 q=38.0 size=    8607kB time=00:00:33.11 bitrate=2129.4kbits/s speed=1.01x    
frame= 1644 fps= 50 q=38.0 size=    8761kB time=00:00:33.62 bitrate=2134.6kbits/s speed=1.01x    
frame= 1670 fps= 50 q=38.0 size=    8944kB time=00:00:34.13 bitrate=2146.5kbits/s speed=1.01x    
frame= 1695 fps= 50 q=39.0 size=    9049kB time=00:00:34.64 bitrate=2139.7kbits/s speed=1.01x    
frame= 1719 fps= 50 q=37.0 size=    9154kB time=00:00:35.17 bitrate=2131.8kbits/s speed=1.01x    
frame= 1743 fps= 50 q=38.0 size=    9266kB time=00:00:35.66 bitrate=2128.4kbits/s speed=1.01x    
frame= 1768 fps= 49 q=36.0 size=    9382kB time=00:00:36.17 bitrate=2124.5kbits/s speed=1.01x    
frame= 1794 fps= 50 q=35.0 size=    9504kB time=00:00:36.68 bitrate=2122.2kbits/s speed=1.01x    
frame= 1819 fps= 50 q=37.0 size=    9582kB time=00:00:37.19 bitrate=2110.3kbits/s speed=1.01x    
frame= 1844 fps= 50 q=35.0 size=    9691kB time=00:00:37.68 bitrate=2106.6kbits/s speed=1.01x    
frame= 1869 fps= 50 q=37.0 size=    9798kB time=00:00:38.19 bitrate=2101.4kbits/s speed=1.01x    
frame= 1895 fps= 50 q=34.0 size=    9926kB time=00:00:38.70 bitrate=2100.7kbits/s speed=1.01x    
frame= 1920 fps= 50 q=35.0 size=   10034kB time=00:00:39.21 bitrate=2095.9kbits/s speed=1.01x    
frame= 1945 fps= 50 q=35.0 size=   10161kB time=00:00:39.70 bitrate=2096.4kbits/s speed=1.01x    
frame= 1970 fps= 50 q=37.0 size=   10302kB time=00:00:40.21 bitrate=2098.4kbits/s speed=1.01x    
frame= 1996 fps= 50 q=35.0 size=   10439kB time=00:00:40.72 bitrate=2099.7kbits/s speed=1.01x    
frame= 2021 fps= 50 q=35.0 size=   10591kB time=00:00:41.23 bitrate=2103.9kbits/s speed=1.01x    
frame= 2046 fps= 50 q=37.0 size=   10728kB time=00:00:41.72 bitrate=2106.1kbits/s speed=1.01x    
frame= 2071 fps= 50 q=35.0 size=   10863kB time=00:00:42.23 bitrate=2106.8kbits/s speed=1.01x    
frame= 2097 fps= 50 q=35.0 size=   11001kB time=00:00:42.74 bitrate=2108.2kbits/s speed=1.01x    
frame= 2122 fps= 50 q=36.0 size=   11137kB time=00:00:43.25 bitrate=2109.0kbits/s speed=1.01x    
frame= 2147 fps= 50 q=39.0 size=   11290kB time=00:00:43.74 bitrate=2114.3kbits/s speed=1.01x    
frame= 2172 fps= 50 q=39.0 size=   11448kB time=00:00:44.25 bitrate=2119.0kbits/s speed=1.01x    
frame= 2198 fps= 50 q=39.0 size=   11640kB time=00:00:44.76 bitrate=2129.9kbits/s speed=1.01x    
frame= 2223 fps= 50 q=40.0 size=   11802kB time=00:00:45.27 bitrate=2135.3kbits/s speed=1.01x    
frame= 2248 fps= 50 q=39.0 size=   11960kB time=00:00:45.76 bitrate=2140.7kbits/s speed=1.01x    
frame= 2273 fps= 50 q=36.0 size=   12106kB time=00:00:46.27 bitrate=2143.0kbits/s speed=1.01x    
frame= 2299 fps= 50 q=34.0 size=   12206kB time=00:00:46.78 bitrate=2137.1kbits/s speed=1.01x    
frame= 2321 fps= 50 q=37.0 size=   12310kB time=00:00:47.29 bitrate=2132.0kbits/s speed=1.01x    
frame= 2346 fps= 50 q=38.0 size=   12425kB time=00:00:47.80 bitrate=2129.0kbits/s speed=1.01x    
frame= 2372 fps= 50 q=35.0 size=   12550kB time=00:00:48.32 bitrate=2127.6kbits/s speed=1.01x    
frame= 2397 fps= 50 q=35.0 size=   12638kB time=00:00:48.80 bitrate=2121.2kbits/s speed=1.01x    
frame= 2422 fps= 50 q=35.0 size=   12724kB time=00:00:49.31 bitrate=2113.5kbits/s speed=1.01x    
frame= 2447 fps= 50 q=35.0 size=   12846kB time=00:00:49.83 bitrate=2111.8kbits/s speed=1.01x    
frame= 2473 fps= 50 q=35.0 size=   12964kB time=00:00:50.34 bitrate=2109.7kbits/s speed=1.01x    
frame= 2498 fps= 50 q=38.0 size=   13085kB time=00:00:50.82 bitrate=2108.9kbits/s speed=1.01x    
frame= 2523 fps= 50 q=33.0 size=   13201kB time=00:00:51.33 bitrate=2106.5kbits/s speed=1.01x    
frame= 2548 fps= 50 q=35.0 size=   13345kB time=00:00:51.85 bitrate=2108.4kbits/s speed=1.01x    
frame= 2574 fps= 50 q=35.0 size=   13482kB time=00:00:52.36 bitrate=2109.4kbits/s speed=1.01x    
frame= 2600 fps= 50 q=38.0 size=   13646kB time=00:00:52.87 bitrate=2114.3kbits/s speed=1.01x    
frame= 2625 fps= 50 q=38.0 size=   13773kB time=00:00:53.38 bitrate=2113.6kbits/s speed=1.01x    
frame= 2651 fps= 50 q=34.0 size=   13912kB time=00:00:53.89 bitrate=2114.7kbits/s speed=1.01x    
frame= 2676 fps= 50 q=35.0 size=   14049kB time=00:00:54.40 bitrate=2115.5kbits/s speed=1.01x    
frame= 2701 fps= 50 q=38.0 size=   14189kB time=00:00:54.89 bitrate=2117.5kbits/s speed=1.01x    
frame= 2726 fps= 50 q=39.0 size=   14342kB time=00:00:55.40 bitrate=2120.6kbits/s speed=1.01x    
frame= 2752 fps= 50 q=37.0 size=   14490kB time=00:00:55.91 bitrate=2123.0kbits/s speed=1.01x    
frame= 2777 fps= 50 q=37.0 size=   14700kB time=00:00:56.42 bitrate=2134.2kbits/s speed=1.01x    
frame= 2803 fps= 50 q=38.0 size=   14849kB time=00:00:56.93 bitrate=2136.4kbits/s speed=1.01x    
frame= 2828 fps= 50 q=39.0 size=   15008kB time=00:00:57.44 bitrate=2140.2kbits/s speed=1.01x    
frame= 2854 fps= 50 q=37.0 size=   15165kB time=00:00:57.95 bitrate=2143.5kbits/s speed=1.01x    
frame= 2879 fps= 50 q=35.0 size=   15264kB time=00:00:58.46 bitrate=2138.6kbits/s speed=1.01x    
frame= 2900 fps= 50 q=39.0 size=   15371kB time=00:00:58.95 bitrate=2135.9kbits/s speed=1.01x    
frame= 2926 fps= 50 q=38.0 size=   15479kB time=00:00:59.46 bitrate=2132.3kbits/s speed=1.01x    
frame= 2951 fps= 50 q=36.0 size=   15599kB time=00:00:59.97 bitrate=2130.5kbits/s speed=1.01x    
frame= 2976 fps= 50 q=35.0 size=   15705kB time=00:01:00.46 bitrate=2127.8kbits/s speed=1.01x    
frame= 3001 fps= 50 q=36.0 size=   15785kB time=00:01:00.97 bitrate=2120.7kbits/s speed=1.01x    
frame= 3027 fps= 50 q=35.0 size=   15899kB time=00:01:01.48 bitrate=2118.3kbits/s speed=1.01x    
frame= 3052 fps= 50 q=38.0 size=   16020kB time=00:01:01.99 bitrate=2116.8kbits/s speed=1.01x    
frame= 3077 fps= 50 q=35.0 size=   16143kB time=00:01:02.48 bitrate=2116.4kbits/s speed=1.01x    
frame= 3102 fps= 50 q=35.0 size=   16258kB time=00:01:02.99 bitrate=2114.2kbits/s speed=1.01x    
frame= 3128 fps= 50 q=35.0 size=   16399kB time=00:01:03.50 bitrate=2115.3kbits/s speed=1.01x    
frame= 3153 fps= 50 q=35.0 size=   16534kB time=00:01:04.01 bitrate=2115.8kbits/s speed=1.01x    
frame= 3178 fps= 50 q=38.0 size=   16676kB time=00:01:04.50 bitrate=2117.9kbits/s speed=1.01x    
frame= 3203 fps= 50 q=35.0 size=   16822kB time=00:01:05.01 bitrate=2119.6kbits/s speed=1.01x    
frame= 3229 fps= 50 q=35.0 size=   16959kB time=00:01:05.52 bitrate=2120.1kbits/s speed=1.01x    
frame= 3254 fps= 50 q=38.0 size=   17098kB time=00:01:06.03 bitrate=2121.1kbits/s speed=1.01x    
frame= 3279 fps= 50 q=36.0 size=   17243kB time=00:01:06.52 bitrate=2123.4kbits/s speed=1.01x    
frame= 3304 fps= 50 q=39.0 size=   17393kB time=00:01:07.03 bitrate=2125.5kbits/s speed=1.01x    
frame= 3330 fps= 50 q=37.0 size=   17533kB time=00:01:07.54 bitrate=2126.4kbits/s speed=1.01x    
frame= 3355 fps= 50 q=37.0 size=   17702kB time=00:01:08.05 bitrate=2130.8kbits/s speed=1.01x    
frame= 3381 fps= 50 q=40.0 size=   17885kB time=00:01:08.56 bitrate=2136.7kbits/s speed=1.01x    
frame= 3406 fps= 50 q=35.0 size=   18047kB time=00:01:09.07 bitrate=2140.1kbits/s speed=1.01x    
frame= 3432 fps= 50 q=39.0 size=   18212kB time=00:01:09.59 bitrate=2143.9kbits/s speed=1.01x    
frame= 3458 fps= 50 q=36.0 size=   18317kB time=00:01:10.10 bitrate=2140.5kbits/s speed=1.01x    
frame= 3482 fps= 50 q=39.0 size=   18441kB time=00:01:10.61 bitrate=2139.5kbits/s speed=1.01x    
frame= 3505 fps= 50 q=37.0 size=   18529kB time=00:01:11.12 bitrate=2134.1kbits/s speed=1.01x    
frame= 3530 fps= 50 q=35.0 size=   18648kB time=00:01:11.61 bitrate=2133.3kbits/s speed=1.01x    
frame= 3555 fps= 50 q=37.0 size=   18762kB time=00:01:12.12 bitrate=2131.1kbits/s speed=1.01x    
frame= 3580 fps= 50 q=33.0 size=   18836kB time=00:01:12.60 bitrate=2125.1kbits/s speed=1.01x    
frame= 3605 fps= 50 q=36.0 size=   18952kB time=00:01:13.11 bitrate=2123.3kbits/s speed=1.01x    
frame= 3631 fps= 50 q=33.0 size=   19069kB time=00:01:13.63 bitrate=2121.6kbits/s speed=1.01x    
frame= 3656 fps= 50 q=35.0 size=   19194kB time=00:01:14.14 bitrate=2120.8kbits/s speed=1.01x    
frame= 3682 fps= 50 q=35.0 size=   19307kB time=00:01:14.65 bitrate=2118.6kbits/s speed=1.01x    
frame= 3707 fps= 50 q=35.0 size=   19455kB time=00:01:15.16 bitrate=2120.4kbits/s speed=1.01x    
frame= 3732 fps= 50 q=34.0 size=   19583kB time=00:01:15.65 bitrate=2120.6kbits/s speed=1.01x    
frame= 3757 fps= 50 q=35.0 size=   19722kB time=00:01:16.16 bitrate=2121.3kbits/s speed=1.01x    
