ffmpeg version 6.1.1-3ubuntu5 Copyright (c) 2000-2023 the FFmpeg developers
  built with gcc 13 (Ubuntu 13.2.0-23ubuntu3)
  configuration: --prefix=/usr --extra-version=3ubuntu5 --toolchain=hardened --libdir=/usr/lib/x86_64-linux-gnu --incdir=/usr/include/x86_64-linux-gnu --arch=amd64 --enable-gpl --disable-stripping --disable-omx --enable-gnutls --enable-libaom --enable-libass --enable-libbs2b --enable-libcaca --enable-libcdio --enable-libcodec2 --enable-libdav1d --enable-libflite --enable-libfontconfig --enable-libfreetype --enable-libfribidi --enable-libglslang --enable-libgme --enable-libgsm --enable-libharfbuzz --enable-libmp3lame --enable-libmysofa --enable-libopenjpeg --enable-libopenmpt --enable-libopus --enable-librubberband --enable-libshine --enable-libsnappy --enable-libsoxr --enable-libspeex --enable-libtheora --enable-libtwolame --enable-libvidstab --enable-libvorbis --enable-libvpx --enable-libwebp --enable-libx265 --enable-libxml2 --enable-libxvid --enable-libzimg --enable-openal --enable-opencl --enable-opengl --disable-sndio --enable-libvpl --disable-libmfx --enable-libdc1394 --enable-libdrm --enable-libiec61883 --enable-chromaprint --enable-frei0r --enable-ladspa --enable-libbluray --enable-libjack --enable-libpulse --enable-librabbitmq --enable-librist --enable-libsrt --enable-libssh --enable-libsvtav1 --enable-libx264 --enable-libzmq --enable-libzvbi --enable-lv2 --enable-sdl2 --enable-libplacebo --enable-librav1e --enable-pocketsphinx --enable-librsvg --enable-libjxl --enable-shared
  libavutil      58. 29.100 / 58. 29.100
  libavcodec     60. 31.102 / 60. 31.102
  libavformat    60. 16.100 / 60. 16.100
  libavdevice    60.  3.100 / 60.  3.100
  libavfilter     9. 12.100 /  9. 12.100
  libswscale      7.  5.100 /  7.  5.100
  libswresample   4. 12.100 /  4. 12.100
  libpostproc    57.  3.100 / 57.  3.100
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from 'downloads/Infinite pencil loop #pencil #macro #closeup #microscope #zoom #shorts #viral.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf60.16.100
  Duration: 00:00:11.75, start: 0.000000, bitrate: 4765 kb/s
  Stream #0:0[0x1](und): Audio: aac (LC) (mp4a / 0x6134706D), 44100 Hz, stereo, fltp, 128 kb/s (default)
    Metadata:
      handler_name    : SoundHandler
      vendor_id       : [0][0][0][0]
  Stream #0:1[0x2](und): Video: h264 (High) (avc1 / 0x31637661), yuv420p(tv, bt709, progressive), 1080x1920 [SAR 1:1 DAR 9:16], 4654 kb/s, 50 fps, 50 tbr, 90k tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
Stream mapping:
  Stream #0:1 -> #0:0 (h264 (native) -> h264 (libx264))
  Stream #0:0 -> #0:1 (aac (native) -> aac (native))
Press [q] to stop, [?] for help
[libx264 @ 0x5b34ec5df040] using SAR=1/1
[libx264 @ 0x5b34ec5df040] using cpu capabilities: MMX2 SSE2Fast SSSE3 SSE4.2 AVX FMA3 BMI2 AVX2 AVX512
[libx264 @ 0x5b34ec5df040] profile High, level 4.2, 4:2:0, 8-bit
[libx264 @ 0x5b34ec5df040] 264 - core 164 r3108 31e19f9 - H.264/MPEG-4 AVC codec - Copyleft 2003-2023 - http://www.videolan.org/x264.html - options: cabac=1 ref=1 deblock=1:0:0 analyse=0x3:0x3 me=dia subme=1 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=1 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=60 keyint_min=6 scenecut=40 intra_refresh=0 rc_lookahead=0 rc=cbr mbtree=0 bitrate=6800 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=6800 vbv_bufsize=13600 nal_hrd=none filler=0 ip_ratio=1.40 pb_ratio=1.30 aq=1:1.00
Output #0, flv, to 'rtmp://a.rtmp.youtube.com/live2/dfj5-9g81-zbx2-ztgv-6ju9':
  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : Lavf60.16.100
  Stream #0:0(und): Video: h264 ([7][0][0][0] / 0x0007), yuv420p(tv, bt709, progressive), 1080x1920 [SAR 1:1 DAR 9:16], q=2-31, 6800 kb/s, 50 fps, 1k tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
      encoder         : Lavc60.31.102 libx264
    Side data:
      cpb: bitrate max/min/avg: 6800000/0/6800000 buffer size: 13600000 vbv_delay: N/A
  Stream #0:1(und): Audio: aac (LC) ([10][0][0][0] / 0x000A), 44100 Hz, stereo, fltp, 128 kb/s (default)
    Metadata:
      handler_name    : SoundHandler
      vendor_id       : [0][0][0][0]
      encoder         : Lavc60.31.102 aac
frame=    0 fps=0.0 q=0.0 size=       0kB time=00:00:00.16 bitrate=  24.2kbits/s speed=2.03x    
frame=   12 fps=0.0 q=24.0 size=     108kB time=00:00:00.83 bitrate=1061.4kbits/s speed=1.44x    
frame=   46 fps= 42 q=20.0 size=     534kB time=00:00:01.53 bitrate=2856.6kbits/s speed=1.41x    
frame=   72 fps= 45 q=21.0 size=     849kB time=00:00:02.04 bitrate=3405.5kbits/s speed=1.29x    
frame=   98 fps= 47 q=22.0 size=    1358kB time=00:00:02.55 bitrate=4353.9kbits/s speed=1.21x    
frame=  123 fps= 47 q=21.0 size=    1950kB time=00:00:03.06 bitrate=5211.9kbits/s speed=1.17x    
frame=  149 fps= 48 q=22.0 size=    2376kB time=00:00:03.57 bitrate=5442.8kbits/s speed=1.14x    
frame=  173 fps= 47 q=23.0 size=    2758kB time=00:00:04.06 bitrate=5560.6kbits/s speed=1.11x    
frame=  200 fps= 48 q=22.0 size=    3357kB time=00:00:04.59 bitrate=5982.4kbits/s speed= 1.1x    
frame=  226 fps= 48 q=22.0 size=    3854kB time=00:00:05.13 bitrate=6151.7kbits/s speed= 1.1x    
frame=  251 fps= 49 q=23.0 size=    4410kB time=00:00:05.61 bitrate=6429.4kbits/s speed=1.09x    
frame=  276 fps= 49 q=23.0 size=    4836kB time=00:00:06.13 bitrate=6463.0kbits/s speed=1.08x    
frame=  302 fps= 49 q=22.0 size=    5375kB time=00:00:06.64 bitrate=6629.8kbits/s speed=1.07x    
frame=  327 fps= 49 q=22.0 size=    5784kB time=00:00:07.15 bitrate=6625.4kbits/s speed=1.07x    
frame=  353 fps= 49 q=25.0 size=    6200kB time=00:00:07.66 bitrate=6628.3kbits/s speed=1.06x    
frame=  376 fps= 49 q=24.0 size=    6647kB time=00:00:08.15 bitrate=6680.7kbits/s speed=1.05x    
frame=  400 fps= 48 q=27.0 size=    7110kB time=00:00:08.59 bitrate=6779.6kbits/s speed=1.04x    
frame=  424 fps= 48 q=26.0 size=    7729kB time=00:00:09.07 bitrate=6974.3kbits/s speed=1.04x    
frame=  449 fps= 48 q=28.0 size=    8225kB time=00:00:09.58 bitrate=7025.7kbits/s speed=1.04x    
frame=  472 fps= 48 q=30.0 size=    8596kB time=00:00:10.03 bitrate=7019.9kbits/s speed=1.03x    
frame=  498 fps= 48 q=28.0 size=    9109kB time=00:00:10.56 bitrate=7063.0kbits/s speed=1.03x    
frame=  527 fps= 49 q=25.0 size=    9490kB time=00:00:11.14 bitrate=6975.4kbits/s speed=1.03x    
frame=  562 fps= 49 q=27.0 size=    9952kB time=00:00:11.70 bitrate=6966.4kbits/s speed=1.02x    
frame=  586 fps= 49 q=23.0 size=   10311kB time=00:00:12.39 bitrate=6812.5kbits/s speed=1.04x    
frame=  612 fps= 49 q=23.0 size=   10697kB time=00:00:12.91 bitrate=6787.5kbits/s speed=1.04x    
frame=  637 fps= 49 q=25.0 size=   10977kB time=00:00:13.42 bitrate=6700.4kbits/s speed=1.04x    
frame=  662 fps= 49 q=24.0 size=   11254kB time=00:00:13.90 bitrate=6628.2kbits/s speed=1.03x    
frame=  687 fps= 49 q=23.0 size=   11666kB time=00:00:14.41 bitrate=6627.6kbits/s speed=1.03x    
frame=  712 fps= 49 q=26.0 size=   12079kB time=00:00:14.93 bitrate=6627.6kbits/s speed=1.03x    
frame=  738 fps= 49 q=25.0 size=   12475kB time=00:00:15.44 bitrate=6618.4kbits/s speed=1.03x    
frame=  764 fps= 49 q=23.0 size=   12818kB time=00:00:15.95 bitrate=6582.3kbits/s speed=1.03x    
frame=  789 fps= 49 q=23.0 size=   13272kB time=00:00:16.43 bitrate=6613.3kbits/s speed=1.03x    
frame=  814 fps= 49 q=23.0 size=   13716kB time=00:00:16.95 bitrate=6628.9kbits/s speed=1.03x    
frame=  839 fps= 49 q=24.0 size=   14200kB time=00:00:17.46 bitrate=6662.1kbits/s speed=1.03x    
frame=  865 fps= 49 q=23.0 size=   14595kB time=00:00:17.97 bitrate=6652.7kbits/s speed=1.03x    
frame=  891 fps= 49 q=25.0 size=   14998kB time=00:00:18.48 bitrate=6647.2kbits/s speed=1.02x    
frame=  916 fps= 49 q=24.0 size=   15454kB time=00:00:18.99 bitrate=6665.4kbits/s speed=1.02x    
frame=  942 fps= 49 q=25.0 size=   15843kB time=00:00:19.50 bitrate=6654.1kbits/s speed=1.02x    
frame=  967 fps= 49 q=27.0 size=   16327kB time=00:00:20.01 bitrate=6682.4kbits/s speed=1.02x    
frame=  988 fps= 49 q=25.0 size=   16790kB time=00:00:20.43 bitrate=6731.1kbits/s speed=1.02x    
frame= 1014 fps= 49 q=25.0 size=   17429kB time=00:00:20.94 bitrate=6817.1kbits/s speed=1.02x    
frame= 1041 fps= 49 q=30.0 size=   18158kB time=00:00:21.50 bitrate=6918.3kbits/s speed=1.02x    
frame= 1063 fps= 49 q=33.0 size=   18623kB time=00:00:21.94 bitrate=6952.4kbits/s speed=1.02x    
frame= 1092 fps= 49 q=29.0 size=   19219kB time=00:00:22.50 bitrate=6997.5kbits/s speed=1.02x    
frame= 1120 fps= 50 q=24.0 size=   19513kB time=00:00:23.08 bitrate=6925.8kbits/s speed=1.02x    
frame= 1146 fps= 50 q=27.0 size=   19906kB time=00:00:23.45 bitrate=6953.3kbits/s speed=1.01x    
frame= 1168 fps= 49 q=24.0 size=   20213kB time=00:00:24.10 bitrate=6870.1kbits/s speed=1.02x    
frame= 1193 fps= 49 q=23.0 size=   20584kB time=00:00:24.58 bitrate=6857.5kbits/s speed=1.02x    
frame= 1218 fps= 49 q=23.0 size=   20903kB time=00:00:25.10 bitrate=6821.8kbits/s speed=1.02x    
frame= 1243 fps= 49 q=24.0 size=   21145kB time=00:00:25.61 bitrate=6763.4kbits/s speed=1.02x    
frame= 1268 fps= 49 q=24.0 size=   21557kB time=00:00:26.09 bitrate=6766.2kbits/s speed=1.02x    
frame= 1293 fps= 49 q=23.0 size=   21985kB time=00:00:26.61 bitrate=6768.2kbits/s speed=1.02x    
frame= 1319 fps= 49 q=23.0 size=   22361kB time=00:00:27.12 bitrate=6754.2kbits/s speed=1.02x    
frame= 1344 fps= 49 q=24.0 size=   22695kB time=00:00:27.63 bitrate=6728.5kbits/s speed=1.02x    
frame= 1369 fps= 49 q=24.0 size=   23191kB time=00:00:28.11 bitrate=6756.3kbits/s speed=1.02x    
frame= 1394 fps= 49 q=24.0 size=   23579kB time=00:00:28.63 bitrate=6746.8kbits/s speed=1.02x    
frame= 1420 fps= 50 q=24.0 size=   23991kB time=00:00:29.14 bitrate=6744.3kbits/s speed=1.02x    
frame= 1445 fps= 50 q=24.0 size=   24464kB time=00:00:29.65 bitrate=6758.7kbits/s speed=1.02x    
frame= 1470 fps= 50 q=23.0 size=   24871kB time=00:00:30.13 bitrate=6760.1kbits/s speed=1.02x    
frame= 1495 fps= 50 q=23.0 size=   25296kB time=00:00:30.65 bitrate=6760.9kbits/s speed=1.01x    
frame= 1518 fps= 49 q=26.0 size=   25618kB time=00:00:31.11 bitrate=6744.9kbits/s speed=1.01x    
frame= 1545 fps= 49 q=25.0 size=   26089kB time=00:00:31.64 bitrate=6752.9kbits/s speed=1.01x    
frame= 1572 fps= 50 q=25.0 size=   26701kB time=00:00:32.18 bitrate=6796.7kbits/s speed=1.01x    
frame= 1598 fps= 50 q=26.0 size=   27334kB time=00:00:32.69 bitrate=6849.1kbits/s speed=1.01x    
frame= 1623 fps= 50 q=27.0 size=   28029kB time=00:00:33.20 bitrate=6915.1kbits/s speed=1.01x    
frame= 1649 fps= 50 q=28.0 size=   28582kB time=00:00:33.71 bitrate=6944.6kbits/s speed=1.01x    
frame= 1674 fps= 50 q=27.0 size=   29161kB time=00:00:34.22 bitrate=6979.6kbits/s speed=1.01x    
frame= 1700 fps= 50 q=25.0 size=   29442kB time=00:00:34.73 bitrate=6943.2kbits/s speed=1.01x    
frame= 1730 fps= 50 q=27.0 size=   29866kB time=00:00:35.20 bitrate=6950.4kbits/s speed=1.01x    
frame= 1749 fps= 49 q=24.0 size=   30129kB time=00:00:35.78 bitrate=6897.8kbits/s speed=1.01x    
frame= 1775 fps= 50 q=22.0 size=   30517kB time=00:00:36.31 bitrate=6883.8kbits/s speed=1.01x    
frame= 1801 fps= 50 q=25.0 size=   30852kB time=00:00:36.82 bitrate=6863.0kbits/s speed=1.01x    
frame= 1826 fps= 50 q=23.0 size=   31100kB time=00:00:37.33 bitrate=6823.4kbits/s speed=1.01x    
frame= 1852 fps= 50 q=24.0 size=   31503kB time=00:00:37.84 bitrate=6818.6kbits/s speed=1.01x    
frame= 1877 fps= 50 q=23.0 size=   31916kB time=00:00:38.35 bitrate=6815.9kbits/s speed=1.01x    
frame= 1903 fps= 50 q=23.0 size=   32304kB time=00:00:38.87 bitrate=6808.1kbits/s speed=1.01x    
frame= 1928 fps= 50 q=24.0 size=   32659kB time=00:00:39.38 bitrate=6793.7kbits/s speed=1.01x    
frame= 1954 fps= 50 q=24.0 size=   33128kB time=00:00:39.89 bitrate=6803.0kbits/s speed=1.01x    
frame= 1980 fps= 50 q=23.0 size=   33530kB time=00:00:40.40 bitrate=6798.5kbits/s speed=1.01x    
frame= 2005 fps= 50 q=24.0 size=   33940kB time=00:00:40.91 bitrate=6795.8kbits/s speed=1.01x    
frame= 2029 fps= 50 q=24.0 size=   34413kB time=00:00:41.40 bitrate=6809.3kbits/s speed=1.01x    
frame= 2053 fps= 50 q=22.0 size=   34761kB time=00:00:41.86 bitrate=6801.7kbits/s speed=1.01x    
frame= 2080 fps= 50 q=23.0 size=   35222kB time=00:00:42.42 bitrate=6801.5kbits/s speed=1.01x    
frame= 2106 fps= 50 q=26.0 size=   35629kB time=00:00:42.93 bitrate=6798.2kbits/s speed=1.01x    
frame= 2131 fps= 50 q=25.0 size=   36044kB time=00:00:43.44 bitrate=6796.5kbits/s speed=1.01x    
frame= 2157 fps= 50 q=25.0 size=   36663kB time=00:00:43.95 bitrate=6832.9kbits/s speed=1.01x    
frame= 2183 fps= 50 q=25.0 size=   37280kB time=00:00:44.46 bitrate=6868.2kbits/s speed=1.01x    
frame= 2208 fps= 50 q=27.0 size=   37931kB time=00:00:44.97 bitrate=6908.7kbits/s speed=1.01x    
frame= 2234 fps= 50 q=28.0 size=   38570kB time=00:00:45.48 bitrate=6946.1kbits/s speed=1.01x    
frame= 2259 fps= 50 q=29.0 size=   39143kB time=00:00:45.99 bitrate=6971.0kbits/s speed=1.01x    
frame= 2285 fps= 50 q=26.0 size=   39403kB time=00:00:46.50 bitrate=6940.3kbits/s speed=1.01x    
frame= 2314 fps= 50 q=27.0 size=   39814kB time=00:00:46.95 bitrate=6946.8kbits/s speed=1.01x    
frame= 2333 fps= 50 q=24.0 size=   40077kB time=00:00:47.53 bitrate=6907.3kbits/s speed=1.01x    
frame= 2358 fps= 50 q=22.0 size=   40466kB time=00:00:48.04 bitrate=6900.2kbits/s speed=1.01x    
frame= 2384 fps= 50 q=24.0 size=   40790kB time=00:00:48.55 bitrate=6882.2kbits/s speed=1.01x    
frame= 2409 fps= 50 q=23.0 size=   41035kB time=00:00:49.06 bitrate=6851.5kbits/s speed=1.01x    
frame= 2435 fps= 50 q=27.0 size=   41451kB time=00:00:49.57 bitrate=6849.6kbits/s speed=1.01x    
frame= 2460 fps= 50 q=23.0 size=   41863kB time=00:00:50.08 bitrate=6847.1kbits/s speed=1.01x    
frame= 2486 fps= 50 q=23.0 size=   42240kB time=00:00:50.59 bitrate=6839.1kbits/s speed=1.01x    
frame= 2511 fps= 50 q=24.0 size=   42570kB time=00:00:51.10 bitrate=6823.6kbits/s speed=1.01x    
frame= 2536 fps= 50 q=23.0 size=   42978kB time=00:00:51.59 bitrate=6823.9kbits/s speed=1.01x    
frame= 2561 fps= 50 q=23.0 size=   43443kB time=00:00:52.10 bitrate=6830.0kbits/s speed=1.01x    
frame= 2586 fps= 50 q=27.0 size=   43852kB time=00:00:52.61 bitrate=6827.5kbits/s speed=1.01x    
frame= 2612 fps= 50 q=23.0 size=   44318kB time=00:00:53.12 bitrate=6833.7kbits/s speed=1.01x    
frame= 2637 fps= 50 q=23.0 size=   44728kB time=00:00:53.61 bitrate=6834.2kbits/s speed=1.01x    
frame= 2662 fps= 50 q=23.0 size=   45163kB time=00:00:54.12 bitrate=6835.5kbits/s speed=1.01x    
frame= 2688 fps= 50 q=24.0 size=   45541kB time=00:00:54.63 bitrate=6828.2kbits/s speed=1.01x    
frame= 2713 fps= 50 q=25.0 size=   45958kB time=00:00:55.14 bitrate=6826.9kbits/s speed=1.01x    
frame= 2738 fps= 50 q=25.0 size=   46550kB time=00:00:55.63 bitrate=6854.3kbits/s speed=1.01x    
frame= 2764 fps= 50 q=29.0 size=   47188kB time=00:00:56.16 bitrate=6882.1kbits/s speed=1.01x    
frame= 2789 fps= 50 q=27.0 size=   47850kB time=00:00:56.65 bitrate=6918.7kbits/s speed=1.01x    
frame= 2812 fps= 50 q=28.0 size=   48368kB time=00:00:57.14 bitrate=6933.9kbits/s speed=1.01x    
frame= 2840 fps= 50 q=27.0 size=   49036kB time=00:00:57.67 bitrate=6964.6kbits/s speed=1.01x    
frame= 2864 fps= 50 q=28.0 size=   49309kB time=00:00:58.16 bitrate=6944.6kbits/s speed=1.01x    
frame= 2887 fps= 50 q=25.0 size=   49600kB time=00:00:58.63 bitrate=6930.3kbits/s speed=1.01x    
frame= 2913 fps= 50 q=25.0 size=   49990kB time=00:00:59.21 bitrate=6916.3kbits/s speed=1.01x    
frame= 2938 fps= 50 q=24.0 size=   50350kB time=00:00:59.69 bitrate=6909.2kbits/s speed=1.01x    
frame= 2963 fps= 50 q=26.0 size=   50715kB time=00:01:00.20 bitrate=6900.3kbits/s speed=1.01x    
frame= 2988 fps= 50 q=26.0 size=   50933kB time=00:01:00.72 bitrate=6871.6kbits/s speed=1.01x    
frame= 3014 fps= 50 q=24.0 size=   51324kB time=00:01:01.23 bitrate=6866.6kbits/s speed=1.01x    
frame= 3040 fps= 50 q=23.0 size=   51747kB time=00:01:01.74 bitrate=6865.9kbits/s speed=1.01x    
frame= 3065 fps= 50 q=24.0 size=   52163kB time=00:01:02.25 bitrate=6864.3kbits/s speed=1.01x    
frame= 3091 fps= 50 q=25.0 size=   52483kB time=00:01:02.76 bitrate=6850.1kbits/s speed=1.01x    
frame= 3116 fps= 50 q=24.0 size=   52853kB time=00:01:03.27 bitrate=6842.8kbits/s speed=1.01x    
frame= 3141 fps= 50 q=24.0 size=   53327kB time=00:01:03.76 bitrate=6851.3kbits/s speed=1.01x    
frame= 3166 fps= 50 q=21.0 size=   53746kB time=00:01:04.27 bitrate=6850.3kbits/s speed=1.01x    
frame= 3192 fps= 50 q=24.0 size=   54216kB time=00:01:04.78 bitrate=6855.7kbits/s speed=1.01x    
frame= 3217 fps= 50 q=23.0 size=   54613kB time=00:01:05.29 bitrate=6851.9kbits/s speed=1.01x    
frame= 3243 fps= 50 q=23.0 size=   55062kB time=00:01:05.80 bitrate=6854.6kbits/s speed=1.01x    
frame= 3268 fps= 50 q=23.0 size=   55424kB time=00:01:06.31 bitrate=6846.5kbits/s speed=1.01x    
frame= 3293 fps= 50 q=26.0 size=   55850kB time=00:01:06.80 bitrate=6848.8kbits/s speed=1.01x    
frame= 3318 fps= 50 q=27.0 size=   56416kB time=00:01:07.31 bitrate=6865.6kbits/s speed=1.01x    
frame= 3344 fps= 50 q=25.0 size=   57006kB time=00:01:07.82 bitrate=6885.2kbits/s speed=1.01x    
frame= 3369 fps= 50 q=28.0 size=   57681kB time=00:01:08.33 bitrate=6914.7kbits/s speed=1.01x    
frame= 3394 fps= 50 q=29.0 size=   58265kB time=00:01:08.82 bitrate=6935.2kbits/s speed=1.01x    
frame= 3418 fps= 50 q=28.0 size=   58845kB time=00:01:09.31 bitrate=6955.0kbits/s speed=1.01x    
frame= 3445 fps= 50 q=26.0 size=   59250kB time=00:01:09.84 bitrate=6949.3kbits/s speed=1.01x    
frame= 3470 fps= 50 q=28.0 size=   59527kB time=00:01:10.35 bitrate=6931.1kbits/s speed=1.01x    
frame= 3492 fps= 50 q=26.0 size=   59875kB time=00:01:10.86 bitrate=6921.3kbits/s speed=1.01x    
frame= 3517 fps= 50 q=24.0 size=   60246kB time=00:01:11.35 bitrate=6916.6kbits/s speed=1.01x    
frame= 3542 fps= 50 q=26.0 size=   60610kB time=00:01:11.86 bitrate=6908.9kbits/s speed=1.01x    
frame= 3568 fps= 50 q=26.0 size=   60845kB time=00:01:12.37 bitrate=6886.8kbits/s speed=1.01x    
frame= 3593 fps= 50 q=24.0 size=   61159kB time=00:01:12.88 bitrate=6873.8kbits/s speed=1.01x    
frame= 3618 fps= 50 q=23.0 size=   61615kB time=00:01:13.37 bitrate=6879.0kbits/s speed=1.01x    
frame= 3643 fps= 50 q=25.0 size=   61996kB time=00:01:13.88 bitrate=6873.7kbits/s speed=1.01x    
frame= 3669 fps= 50 q=27.0 size=   62358kB time=00:01:14.39 bitrate=6866.4kbits/s speed=1.01x    
frame= 3694 fps= 50 q=24.0 size=   62726kB time=00:01:14.90 bitrate=6859.8kbits/s speed=1.01x    
frame= 3720 fps= 50 q=23.0 size=   63181kB time=00:01:15.41 bitrate=6862.8kbits/s speed=1.01x    
frame= 3744 fps= 50 q=23.0 size=   63596kB time=00:01:15.90 bitrate=6863.5kbits/s speed=1.01x    
