ffmpeg version 4.4.2-0ubuntu0.22.04.1 Copyright (c) 2000-2021 the FFmpeg developers
  built with gcc 11 (Ubuntu 11.2.0-19ubuntu1)
  configuration: --prefix=/usr --extra-version=0ubuntu0.22.04.1 --toolchain=hardened --libdir=/usr/lib/x86_64-linux-gnu --incdir=/usr/include/x86_64-linux-gnu --arch=amd64 --enable-gpl --disable-stripping --enable-gnutls --enable-ladspa --enable-libaom --enable-libass --enable-libbluray --enable-libbs2b --enable-libcaca --enable-libcdio --enable-libcodec2 --enable-libdav1d --enable-libflite --enable-libfontconfig --enable-libfreetype --enable-libfribidi --enable-libgme --enable-libgsm --enable-libjack --enable-libmp3lame --enable-libmysofa --enable-libopenjpeg --enable-libopenmpt --enable-libopus --enable-libpulse --enable-librabbitmq --enable-librubberband --enable-libshine --enable-libsnappy --enable-libsoxr --enable-libspeex --enable-libsrt --enable-libssh --enable-libtheora --enable-libtwolame --enable-libvidstab --enable-libvorbis --enable-libvpx --enable-libwebp --enable-libx265 --enable-libxml2 --enable-libxvid --enable-libzimg --enable-libzmq --enable-libzvbi --enable-lv2 --enable-omx --enable-openal --enable-opencl --enable-opengl --enable-sdl2 --enable-pocketsphinx --enable-librsvg --enable-libmfx --enable-libdc1394 --enable-libdrm --enable-libiec61883 --enable-chromaprint --enable-frei0r --enable-libx264 --enable-shared
  libavutil      56. 70.100 / 56. 70.100
  libavcodec     58.134.100 / 58.134.100
  libavformat    58. 76.100 / 58. 76.100
  libavdevice    58. 13.100 / 58. 13.100
  libavfilter     7.110.100 /  7.110.100
  libswscale      5.  9.100 /  5.  9.100
  libswresample   3.  9.100 /  3.  9.100
  libpostproc    55.  9.100 / 55.  9.100
Input #0, mov,mp4,m4a,3gp,3g2,mj2, from 'LoopVideo.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    encoder         : https://clipchamp.com
    comment         : Create videos with https://clipchamp.com/en/video-editor - free online video editor, video compressor, video converter.
  Duration: 00:00:01.34, start: 0.000000, bitrate: 10085 kb/s
  Stream #0:0(und): Video: h264 (Main) (avc1 / 0x31637661), yuv420p, 1920x1080 [SAR 1:1 DAR 16:9], 10202 kb/s, 30 fps, 30 tbr, 15360 tbn, 60 tbc (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
  Stream #0:1(und): Audio: aac (LC) (mp4a / 0x6134706D), 48000 Hz, stereo, fltp, 193 kb/s (default)
    Metadata:
      handler_name    : SoundHandler
      vendor_id       : [0][0][0][0]
Stream mapping:
  Stream #0:0 -> #0:0 (h264 (native) -> h264 (libx264))
  Stream #0:1 -> #0:1 (aac (native) -> aac (native))
Press [q] to stop, [?] for help
[libx264 @ 0x5f332d04f6c0] using SAR=1/1
[libx264 @ 0x5f332d04f6c0] using cpu capabilities: MMX2 SSE2Fast SSSE3 SSE4.2 AVX FMA3 BMI2 AVX2
[libx264 @ 0x5f332d04f6c0] profile High, level 4.0, 4:2:0, 8-bit
[libx264 @ 0x5f332d04f6c0] 264 - core 163 r3060 5db6aa6 - H.264/MPEG-4 AVC codec - Copyleft 2003-2021 - http://www.videolan.org/x264.html - options: cabac=1 ref=1 deblock=1:0:0 analyse=0x3:0x3 me=dia subme=1 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=1 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=60 keyint_min=6 scenecut=40 intra_refresh=0 rc_lookahead=0 rc=cbr mbtree=0 bitrate=2000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=2000 vbv_bufsize=4000 nal_hrd=none filler=0 ip_ratio=1.40 pb_ratio=1.30 aq=1:1.00
Output #0, flv, to 'rtmp://a.rtmp.youtube.com/live2/12pj-fde0-8qru-z4q5-aqdd':
  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    comment         : Create videos with https://clipchamp.com/en/video-editor - free online video editor, video compressor, video converter.
    encoder         : Lavf58.76.100
  Stream #0:0(und): Video: h264 ([7][0][0][0] / 0x0007), yuv420p(progressive), 1920x1080 [SAR 1:1 DAR 16:9], q=2-31, 2000 kb/s, 30 fps, 1k tbn (default)
    Metadata:
      handler_name    : VideoHandler
      vendor_id       : [0][0][0][0]
      encoder         : Lavc58.134.100 libx264
    Side data:
      cpb: bitrate max/min/avg: 2000000/0/2000000 buffer size: 4000000 vbv_delay: N/A
  Stream #0:1(und): Audio: aac (LC) ([10][0][0][0] / 0x000A), 44100 Hz, stereo, fltp, 128 kb/s (default)
    Metadata:
      handler_name    : SoundHandler
      vendor_id       : [0][0][0][0]
      encoder         : Lavc58.134.100 aac
frame=    1 fps=0.0 q=0.0 size=       1kB time=00:00:00.07 bitrate=  70.7kbits/s speed=0.491x    
frame=   16 fps=0.0 q=38.0 size=      32kB time=00:00:00.55 bitrate= 476.9kbits/s speed=0.855x    
frame=   31 fps= 27 q=27.0 size=     137kB time=00:00:01.09 bitrate=1028.5kbits/s speed=0.938x    
frame=   45 fps= 27 q=26.0 size=     218kB time=00:00:01.59 bitrate=1118.1kbits/s speed=0.958x    
frame=   60 fps= 28 q=21.0 size=     319kB time=00:00:02.10 bitrate=1240.1kbits/s speed=0.972x    
frame=   75 fps= 28 q=28.0 size=     566kB time=00:00:02.57 bitrate=1802.6kbits/s speed=0.964x    
frame=   89 fps= 28 q=29.0 size=     637kB time=00:00:03.08 bitrate=1694.6kbits/s speed=0.97x    
frame=  104 fps= 28 q=23.0 size=     733kB time=00:00:03.61 bitrate=1661.2kbits/s speed=0.982x    
frame=  118 fps= 28 q=25.0 size=     858kB time=00:00:04.09 bitrate=1715.3kbits/s speed=0.98x    
frame=  133 fps= 28 q=29.0 size=     953kB time=00:00:04.58 bitrate=1702.8kbits/s speed=0.979x    
frame=  148 fps= 28 q=23.0 size=    1166kB time=00:00:05.12 bitrate=1864.9kbits/s speed=0.986x    
frame=  160 fps= 28 q=24.0 size=    1270kB time=00:00:05.55 bitrate=1871.6kbits/s speed=0.975x    
frame=  177 fps= 29 q=25.0 size=    1395kB time=00:00:06.13 bitrate=1861.8kbits/s speed=0.988x    
frame=  194 fps= 29 q=25.0 size=    1661kB time=00:00:06.60 bitrate=2061.2kbits/s speed=0.983x    
frame=  207 fps= 29 q=27.0 size=    1736kB time=00:00:07.15 bitrate=1987.3kbits/s speed=0.991x    
frame=  222 fps= 29 q=23.0 size=    1853kB time=00:00:07.64 bitrate=1985.8kbits/s speed=0.989x    
frame=  235 fps= 28 q=25.0 size=    1991kB time=00:00:08.15 bitrate=2000.9kbits/s speed=0.988x    
frame=  251 fps= 29 q=28.0 size=    2104kB time=00:00:08.68 bitrate=1984.2kbits/s speed=0.992x    
frame=  266 fps= 29 q=24.0 size=    2330kB time=00:00:09.17 bitrate=2081.0kbits/s speed=0.991x    
frame=  280 fps= 29 q=26.0 size=    2445kB time=00:00:09.68 bitrate=2069.1kbits/s speed=0.991x    
frame=  295 fps= 29 q=26.0 size=    2558kB time=00:00:10.19 bitrate=2056.6kbits/s speed=0.992x    
frame=  312 fps= 29 q=30.0 size=    2714kB time=00:00:10.63 bitrate=2091.0kbits/s speed=0.986x    
frame=  324 fps= 29 q=27.0 size=    2911kB time=00:00:11.20 bitrate=2127.5kbits/s speed=0.993x    
frame=  340 fps= 29 q=24.0 size=    3024kB time=00:00:11.71 bitrate=2114.1kbits/s speed=0.994x    
frame=  352 fps= 29 q=24.0 size=    3156kB time=00:00:12.18 bitrate=2122.5kbits/s speed=0.989x    
frame=  369 fps= 29 q=22.0 size=    3279kB time=00:00:12.71 bitrate=2112.7kbits/s speed=0.992x    
frame=  384 fps= 29 q=24.0 size=    3493kB time=00:00:13.24 bitrate=2160.0kbits/s speed=0.994x    
frame=  398 fps= 29 q=25.0 size=    3588kB time=00:00:13.73 bitrate=2140.7kbits/s speed=0.993x    
frame=  413 fps= 29 q=25.0 size=    3697kB time=00:00:14.26 bitrate=2123.1kbits/s speed=0.995x    
frame=  429 fps= 29 q=22.0 size=    3841kB time=00:00:14.66 bitrate=2146.5kbits/s speed=0.988x    
frame=  442 fps= 29 q=26.0 size=    4025kB time=00:00:15.26 bitrate=2160.5kbits/s speed=0.995x    
frame=  457 fps= 29 q=25.0 size=    4110kB time=00:00:15.77 bitrate=2134.9kbits/s speed=0.995x    
frame=  470 fps= 29 q=26.0 size=    4245kB time=00:00:16.20 bitrate=2145.5kbits/s speed=0.992x    
frame=  486 fps= 29 q=26.0 size=    4359kB time=00:00:16.76 bitrate=2130.0kbits/s speed=0.995x    
frame=  501 fps= 29 q=25.0 size=    4568kB time=00:00:17.27 bitrate=2166.2kbits/s speed=0.995x    
frame=  515 fps= 29 q=25.0 size=    4656kB time=00:00:17.80 bitrate=2141.8kbits/s speed=0.997x    
frame=  530 fps= 29 q=25.0 size=    4761kB time=00:00:18.29 bitrate=2131.8kbits/s speed=0.996x    
frame=  546 fps= 29 q=23.0 size=    4908kB time=00:00:18.68 bitrate=2151.4kbits/s speed=0.991x    
frame=  559 fps= 29 q=31.0 size=    5102kB time=00:00:19.26 bitrate=2169.3kbits/s speed=0.995x    
frame=  574 fps= 29 q=24.0 size=    5163kB time=00:00:19.80 bitrate=2136.1kbits/s speed=0.996x    
frame=  588 fps= 29 q=26.0 size=    5295kB time=00:00:20.28 bitrate=2138.3kbits/s speed=0.996x    
frame=  603 fps= 29 q=26.0 size=    5412kB time=00:00:20.77 bitrate=2134.3kbits/s speed=0.995x    
frame=  618 fps= 29 q=25.0 size=    5620kB time=00:00:21.30 bitrate=2160.9kbits/s speed=0.997x    
frame=  632 fps= 29 q=25.0 size=    5707kB time=00:00:21.81 bitrate=2143.3kbits/s speed=0.997x    
frame=  647 fps= 29 q=25.0 size=    5814kB time=00:00:22.30 bitrate=2135.8kbits/s speed=0.996x    
frame=  663 fps= 29 q=23.0 size=    5963kB time=00:00:22.71 bitrate=2150.1kbits/s speed=0.992x    
frame=  676 fps= 29 q=34.0 size=    6173kB time=00:00:23.29 bitrate=2170.8kbits/s speed=0.995x    
frame=  691 fps= 29 q=24.0 size=    6226kB time=00:00:23.82 bitrate=2140.5kbits/s speed=0.997x    
frame=  705 fps= 29 q=26.0 size=    6352kB time=00:00:24.31 bitrate=2140.2kbits/s speed=0.996x    
frame=  720 fps= 29 q=26.0 size=    6467kB time=00:00:24.82 bitrate=2134.2kbits/s speed=0.997x    
frame=  735 fps= 29 q=27.0 size=    6705kB time=00:00:25.35 bitrate=2166.0kbits/s speed=0.998x    
frame=  749 fps= 29 q=25.0 size=    6776kB time=00:00:25.84 bitrate=2148.2kbits/s speed=0.997x    
frame=  764 fps= 29 q=25.0 size=    6876kB time=00:00:26.35 bitrate=2137.5kbits/s speed=0.997x    
frame=  780 fps= 29 q=23.0 size=    7026kB time=00:00:26.74 bitrate=2152.0kbits/s speed=0.993x    
frame=  793 fps= 29 q=33.0 size=    7126kB time=00:00:27.32 bitrate=2136.5kbits/s speed=0.996x    
frame=  808 fps= 29 q=25.0 size=    7295kB time=00:00:27.83 bitrate=2147.1kbits/s speed=0.996x    
frame=  822 fps= 29 q=26.0 size=    7422kB time=00:00:28.36 bitrate=2143.4kbits/s speed=0.997x    
frame=  837 fps= 29 q=26.0 size=    7533kB time=00:00:28.87 bitrate=2137.1kbits/s speed=0.997x    
frame=  852 fps= 29 q=31.0 size=    7655kB time=00:00:29.38 bitrate=2134.0kbits/s speed=0.998x    
frame=  866 fps= 29 q=25.0 size=    7835kB time=00:00:29.87 bitrate=2148.8kbits/s speed=0.997x    
frame=  881 fps= 29 q=25.0 size=    7926kB time=00:00:30.35 bitrate=2138.8kbits/s speed=0.997x    
frame=  897 fps= 29 q=23.0 size=    8071kB time=00:00:30.77 bitrate=2148.3kbits/s speed=0.994x    
frame=  910 fps= 29 q=32.0 size=    8179kB time=00:00:31.35 bitrate=2137.0kbits/s speed=0.997x    
frame=  925 fps= 29 q=25.0 size=    8359kB time=00:00:31.88 bitrate=2147.5kbits/s speed=0.997x    
frame=  939 fps= 29 q=27.0 size=    8479kB time=00:00:32.39 bitrate=2144.3kbits/s speed=0.997x    
frame=  954 fps= 29 q=26.0 size=    8588kB time=00:00:32.90 bitrate=2138.2kbits/s speed=0.998x    
frame=  969 fps= 29 q=22.0 size=    8710kB time=00:00:33.41 bitrate=2135.2kbits/s speed=0.998x    
frame=  983 fps= 29 q=30.0 size=    8903kB time=00:00:33.90 bitrate=2151.5kbits/s speed=0.997x    
frame=  998 fps= 29 q=25.0 size=    8988kB time=00:00:34.41 bitrate=2139.7kbits/s speed=0.998x    
frame= 1014 fps= 29 q=23.0 size=    9131kB time=00:00:34.82 bitrate=2147.8kbits/s speed=0.995x    
frame= 1027 fps= 29 q=25.0 size=    9237kB time=00:00:35.40 bitrate=2137.2kbits/s speed=0.997x    
frame= 1042 fps= 29 q=26.0 size=    9426kB time=00:00:35.93 bitrate=2148.6kbits/s speed=0.998x    
frame= 1056 fps= 29 q=27.0 size=    9537kB time=00:00:36.42 bitrate=2145.0kbits/s speed=0.998x    
frame= 1071 fps= 29 q=26.0 size=    9646kB time=00:00:36.93 bitrate=2139.4kbits/s speed=0.998x    
frame= 1086 fps= 29 q=23.0 size=    9776kB time=00:00:37.44 bitrate=2138.8kbits/s speed=0.998x    
frame= 1100 fps= 29 q=31.0 size=    9979kB time=00:00:37.92 bitrate=2155.3kbits/s speed=0.998x    
frame= 1115 fps= 29 q=25.0 size=   10056kB time=00:00:38.43 bitrate=2143.1kbits/s speed=0.998x    
frame= 1131 fps= 29 q=23.0 size=   10197kB time=00:00:38.85 bitrate=2149.7kbits/s speed=0.996x    
frame= 1143 fps= 29 q=24.0 size=   10276kB time=00:00:39.43 bitrate=2134.8kbits/s speed=0.996x    
frame= 1156 fps= 29 q=25.0 size=   10495kB time=00:00:39.85 bitrate=2157.3kbits/s speed=0.994x    
frame= 1174 fps= 29 q=24.0 size=   10604kB time=00:00:40.49 bitrate=2145.0kbits/s speed=0.998x    
frame= 1189 fps= 29 q=26.0 size=   10709kB time=00:00:41.00 bitrate=2139.3kbits/s speed=0.998x    
frame= 1204 fps= 29 q=25.0 size=   10839kB time=00:00:41.49 bitrate=2139.7kbits/s speed=0.998x    
frame= 1218 fps= 29 q=28.0 size=   11050kB time=00:00:41.98 bitrate=2156.2kbits/s speed=0.998x    
frame= 1233 fps= 29 q=22.0 size=   11121kB time=00:00:42.51 bitrate=2142.9kbits/s speed=0.998x    
frame= 1248 fps= 29 q=23.0 size=   11254kB time=00:00:42.93 bitrate=2147.3kbits/s speed=0.996x    
frame= 1262 fps= 29 q=26.0 size=   11363kB time=00:00:43.51 bitrate=2139.5kbits/s speed=0.998x    
frame= 1274 fps= 29 q=25.0 size=   11556kB time=00:00:43.92 bitrate=2155.1kbits/s speed=0.994x    
frame= 1294 fps= 29 q=27.0 size=   11680kB time=00:00:44.64 bitrate=2143.2kbits/s speed=0.999x    
frame= 1309 fps= 29 q=26.0 size=   11782kB time=00:00:45.15 bitrate=2137.5kbits/s speed=0.999x    
frame= 1326 fps= 29 q=23.0 size=   11945kB time=00:00:45.57 bitrate=2147.2kbits/s speed=0.997x    
frame= 1338 fps= 29 q=30.0 size=   12126kB time=00:00:46.12 bitrate=2153.5kbits/s speed=0.998x    
frame= 1353 fps= 29 q=22.0 size=   12187kB time=00:00:46.63 bitrate=2140.7kbits/s speed=0.998x    
frame= 1367 fps= 29 q=26.0 size=   12322kB time=00:00:47.12 bitrate=2142.2kbits/s speed=0.998x    
frame= 1382 fps= 29 q=25.0 size=   12436kB time=00:00:47.65 bitrate=2137.8kbits/s speed=0.998x    
frame= 1398 fps= 29 q=25.0 size=   12648kB time=00:00:48.16 bitrate=2151.2kbits/s speed=0.998x    
frame= 1411 fps= 29 q=26.0 size=   12729kB time=00:00:48.69 bitrate=2141.4kbits/s speed=0.999x    
frame= 1427 fps= 29 q=25.0 size=   12838kB time=00:00:49.18 bitrate=2138.2kbits/s speed=0.999x    
frame= 1439 fps= 29 q=23.0 size=   12951kB time=00:00:49.60 bitrate=2139.0kbits/s speed=0.997x    
frame= 1454 fps= 29 q=31.0 size=   13191kB time=00:00:50.13 bitrate=2155.5kbits/s speed=0.994x    
frame= 1471 fps= 29 q=25.0 size=   13259kB time=00:00:50.68 bitrate=2142.8kbits/s speed=0.996x    
frame= 1482 fps= 29 q=24.0 size=   13363kB time=00:00:51.15 bitrate=2140.1kbits/s speed=0.995x    
frame= 1496 fps= 29 q=26.0 size=   13471kB time=00:00:51.59 bitrate=2139.1kbits/s speed=0.992x    
frame= 1516 fps= 29 q=30.0 size=   13737kB time=00:00:52.26 bitrate=2153.1kbits/s speed=0.996x    
frame= 1534 fps= 29 q=26.0 size=   13839kB time=00:00:52.91 bitrate=2142.6kbits/s speed=0.998x    
frame= 1550 fps= 29 q=21.0 size=   13940kB time=00:00:53.39 bitrate=2138.6kbits/s speed=0.998x    
frame= 1560 fps= 29 q=23.0 size=   14046kB time=00:00:53.63 bitrate=2145.6kbits/s speed=0.993x    
frame= 1570 fps= 29 q=30.0 size=   14125kB time=00:00:54.13 bitrate=2137.4kbits/s speed=0.993x    
frame= 1582 fps= 29 q=25.0 size=   14298kB time=00:00:54.55 bitrate=2147.0kbits/s speed=0.992x    
frame= 1600 fps= 29 q=25.0 size=   14445kB time=00:00:55.20 bitrate=2143.6kbits/s speed=0.993x    
frame= 1620 fps= 29 q=24.0 size=   14582kB time=00:00:55.85 bitrate=2138.9kbits/s speed=0.995x    
frame= 1634 fps= 29 q=32.0 size=   14827kB time=00:00:56.31 bitrate=2156.7kbits/s speed=0.994x    
frame= 1650 fps= 29 q=24.0 size=   14876kB time=00:00:56.89 bitrate=2142.0kbits/s speed=0.995x    
frame= 1662 fps= 29 q=22.0 size=   14950kB time=00:00:57.31 bitrate=2136.9kbits/s speed=0.994x    
frame= 1672 fps= 29 q=25.0 size=   15044kB time=00:00:57.63 bitrate=2138.3kbits/s speed=0.99x    
frame= 1686 fps= 29 q=25.0 size=   15169kB time=00:00:58.14 bitrate=2137.2kbits/s speed=0.989x    
frame= 1700 fps= 29 q=30.0 size=   15367kB time=00:00:58.60 bitrate=2148.0kbits/s speed=0.988x    
frame= 1730 fps= 29 q=27.0 size=   15591kB time=00:00:59.64 bitrate=2141.2kbits/s speed=0.997x    
frame= 1748 fps= 29 q=24.0 size=   15736kB time=00:01:00.22 bitrate=2140.4kbits/s speed=0.999x    
frame= 1761 fps= 29 q=30.0 size=   15924kB time=00:01:00.73 bitrate=2147.8kbits/s speed=0.999x    
frame= 1776 fps= 29 q=24.0 size=   15995kB time=00:01:01.24 bitrate=2139.3kbits/s speed=0.999x    
frame= 1793 fps= 29 q=26.0 size=   16153kB time=00:01:01.68 bitrate=2145.0kbits/s speed=0.998x    
frame= 1805 fps= 29 q=26.0 size=   16236kB time=00:01:02.24 bitrate=2137.0kbits/s speed=0.999x    
frame= 1821 fps= 29 q=24.0 size=   16451kB time=00:01:02.75 bitrate=2147.5kbits/s speed=0.999x    
frame= 1834 fps= 29 q=25.0 size=   16563kB time=00:01:03.26 bitrate=2144.8kbits/s speed=0.999x    
frame= 1850 fps= 29 q=25.0 size=   16672kB time=00:01:03.77 bitrate=2141.7kbits/s speed=0.999x    
frame= 1865 fps= 29 q=24.0 size=   16788kB time=00:01:04.28 bitrate=2139.4kbits/s speed=0.999x    
frame= 1879 fps= 29 q=32.0 size=   17003kB time=00:01:04.76 bitrate=2150.7kbits/s speed=0.998x    
frame= 1894 fps= 29 q=26.0 size=   17075kB time=00:01:05.27 bitrate=2142.9kbits/s speed=0.999x    
frame= 1910 fps= 29 q=26.0 size=   17214kB time=00:01:05.74 bitrate=2145.1kbits/s speed=0.998x    
frame= 1923 fps= 29 q=24.0 size=   17298kB time=00:01:06.29 bitrate=2137.5kbits/s speed=0.999x    
frame= 1938 fps= 29 q=24.0 size=   17521kB time=00:01:06.78 bitrate=2149.3kbits/s speed=0.999x    
frame= 1952 fps= 29 q=27.0 size=   17629kB time=00:01:07.28 bitrate=2146.2kbits/s speed=0.999x    
frame= 1966 fps= 29 q=23.0 size=   17720kB time=00:01:07.79 bitrate=2141.0kbits/s speed=0.999x    
frame= 1982 fps= 29 q=24.0 size=   17845kB time=00:01:08.31 bitrate=2140.0kbits/s speed=0.998x    
frame= 1997 fps= 29 q=32.0 size=   18074kB time=00:01:08.84 bitrate=2150.8kbits/s speed=0.999x    
frame= 2012 fps= 29 q=26.0 size=   18140kB time=00:01:09.35 bitrate=2142.8kbits/s speed=0.999x    
frame= 2028 fps= 29 q=23.0 size=   18272kB time=00:01:09.76 bitrate=2145.4kbits/s speed=0.998x    
frame= 2041 fps= 29 q=25.0 size=   18375kB time=00:01:10.36 bitrate=2139.2kbits/s speed=0.999x    
frame= 2056 fps= 29 q=27.0 size=   18592kB time=00:01:10.88 bitrate=2148.8kbits/s speed=0.999x    
frame= 2070 fps= 29 q=27.0 size=   18687kB time=00:01:11.38 bitrate=2144.5kbits/s speed=0.999x    
frame= 2085 fps= 29 q=27.0 size=   18792kB time=00:01:11.87 bitrate=2141.8kbits/s speed=0.999x    
frame= 2100 fps= 29 q=23.0 size=   18908kB time=00:01:12.38 bitrate=2139.9kbits/s speed=0.999x    
frame= 2111 fps= 29 q=33.0 size=   19015kB time=00:01:12.80 bitrate=2139.7kbits/s speed=0.998x    
frame= 2129 fps= 29 q=27.0 size=   19195kB time=00:01:13.38 bitrate=2142.9kbits/s speed=0.999x    
frame= 2145 fps= 29 q=23.0 size=   19329kB time=00:01:13.79 bitrate=2145.6kbits/s speed=0.998x    
frame= 2158 fps= 29 q=25.0 size=   19431kB time=00:01:14.42 bitrate=2138.9kbits/s speed=0.999x    
frame= 2174 fps= 29 q=25.0 size=   19656kB time=00:01:14.90 bitrate=2149.6kbits/s speed=0.999x    
frame= 2184 fps= 29 q=24.0 size=   19718kB time=00:01:15.14 bitrate=2149.6kbits/s speed=0.995x    
frame= 2202 fps= 29 q=27.0 size=   19844kB time=00:01:15.92 bitrate=2141.0kbits/s speed=0.999x    
frame= 2218 fps= 29 q=24.0 size=   19963kB time=00:01:16.41 bitrate=2140.1kbits/s speed=0.999x    
frame= 2232 fps= 29 q=34.0 size=   20089kB time=00:01:16.92 bitrate=2139.5kbits/s speed=0.999x    
